first,second
36.28,47.43
20.14,28.68
4.61,32.45
33.59,25.39
29.64,42.82
37.36,9.3
53.79,16.98
31.94,29.14
50.61,31.9
19.79,29.53
3.72,29.92
68.08,17.14
63.3,12.31
34.34,39.22
36.93,37.74
65.91,16.55
69.71,19.76
75.51,16.16
35.78,46.55
65.91,22.05
39.57,41.61
60.12,17.24
32.93,49.31
26.25,61.03
16.71,70.21
18.46,44.12
51.26,21.88
51.33,20.12
12.41,59.85
21.7,44.75
60.74,13.61
61.28,15.99
55.21,25.25
51.54,25.4
53.33,15.71
28.79,34.18
54.61,23.02
17.98,44
45.02,30.61
24.61,40.24
21.35,51.34
25.74,47.42
63.66,13.66
22.28,55.46
17.11,58.46
49.01,32.92
29.15,41.25
25.42,45.1
30.39,39.35
